Original_Value,Scrambled_Value
ESPC,SEPC
DTV DIRECTV360,I3ECVDD R0T6VT
SAM SolicitAddrMgr,grilcMri ddASStMAo
clecprofile,lpieflercoc
DTV EG-TOOL-DTMNR-UV,L-T-NTDRV-MT DOOEUVG
PPM Now, MPoNPw
wifi-neteng-tools-development,eli-witdeefetneonpltom-son-vg
TIRKS I/F Dev & Sup,Tve&SFI/RID S  Kp u
IBM-WA,-BMIAW
ATT-BN,ATT-NB
FAST-FAN,ASFN-TFA
TIRKS,TRSKI
PRL,PLR
OTTER,EORTT
HRCMT,HMCRT
S-PP,S-PP
wifi-cloud-ds,-cuoif-lidwsd
EBS-CR-CREATION,TIRCSNOAEBC--RE
BDA-AI,DIAAB-
IDP-Commerce-ES,c-ECeoSImeDrP-m
MPSYS,YPSSM
IDP-Commerce- P&O,Pm&eOo-mcPCI rD-e
INEXS,IEXSN
NBFW,NBFW
SASE,EASS
Cisco SD-WAN,iDAc-SN oWsC
MDPro,DMPro
AI-ACM,A-AMCI
CDI,DIC
GenAI,GIneA
GRP-OaH,GPaRHO-
AIA_B_SS,_AI_ASBS
wifi-juniper-mist,inwmpifrii-ujset-
FVT,TFV
MyPrice,iPMcery
HYLINC,HNYCLI
UVN FORT,FNU VTOR
AirOn/SL (v1/v2),(ivr /1/nLO2ASv)
GnD SMSR,MGDSnR S
OSM M2M,O2MMS M
Zoom,oZom
DRM,RDM
VFCC,FVCC
OpEasy,OEayps
empowhr,hwmpeor
IDP-Catalog-A&P,ga-DlPt&AaCPo-I
IDP-Commerce-CS,DSPreIC--mecmoC
IDP-WS WLS,WPSI D-SLW
SSAF,SASF
MBIZ,ZBIM
SPO Virtual Agent,OePlai tgASu Vtrn
Workfront,fnWookrrt
CP WFMT,W TFCPM
AutoSRM,MuSRotA
SN HR-COMM,MCSHRNMO- 
CAA,AAC
Ask EIS, AsSEIk
wifi-con_db_cache_auth,uneaicftc-od_wbi_h_cha
DG,GD
ABPT,PBAT
TSM-8000,-0TSM008
SECE Reports,seCrpEto ESR
SECST,TCESS
GICECAP-iHosting,GAPCisEtHICo-ing
ASIST Enterprise Coaching, rgstra CESSiIpecATnoiehn
ACAI,ICAA
ProbIT,rIboPT
VNDLY,NDLYV
GRID-AC,RIDGA-C
CMS-Cloud,MCClu-Sod
IDP-TOBR,D-BOTPRI
RANWEB,BAEWRN
DDUX,DDUX
RM-INSIGHTS,RSMI-TGHINS
vIRC-CB,I-RCCvB
CA-Smarsh,-hsCamSrA
GAL,GLA
MOWART,MARWTO
ASNLU,SANLU
Chat,thCa
CPT,PTC
CSSCOLLT,STLCSOCL
GRP-TLGTBLS,LBTPTR-GGSL
CCS- CHF,FCC-HC S
CCS- CGF,CCFG-S C
SAPMP,SPPAM
RMS - C,  M-CSR
BlueCoat,euatoCBl
GRP-IT Tax Telegence,laee TI-egRTeGT nxPc
GBRC,CBRG
ATTCVH,VCATHT
EPTT,TTEP
MCR,CRM
LSBBT,STLBB
GAIM,MAIG
Calnetinfo,Cnlnoetfia
LHouse,usLoHe
NewAppl,lApwpeN
CRFT,CTFR
CTM (UVN),U M(N)TCV
AT&T RS,ARTST& 
ACBDW,DAWBC
HRPAD,HADPR
HRSG,GRHS
PeerOne,OPenree
BComp,mBoCp
ATTPerks,TekAPTrs
GRP-IT Tax Enabler C, eGax TRbP- EIlTrCna
GRP-IT Tax AIO, IGx aAPTTRIO-
ACSP,SCAP
IDP-DnA,DIA-nPD
UIPLATFORM,URILMFOPTA
ESInet,tSInEe
EDGE,GEED
WDA,WAD
UCM UNE319,M9N CEU13U
CS-Fusion,SunsCo-Fi
PDAS,PASD
GRP-AKA CTX Managed,RGAAaM PTe K-CgandX
CPNI DM,DN IMCP
JCache,aChJec
SCFO,OSCF
upFront,rntuoFp
EdgeVis Cloud,igCeVsdldou E
TCKT,KTCT
FUSION-M,OSN-UMIF
GRP-SCM MTIPIG,RGSCGMI-PPM TI
TAXCT,ATTXC
OrdCare&Bill,CrrOd&aBille
DSL ISIS,SSDIL SI
EXTRACT,TATCRXE
PMOSS_APOLLO,ASOMPLP_SOLO
RMAP,PRMA
wifi-emma,mii-fawem
AQUA-GCM,-AMAGCQU
EIA,AEI
DOC,DCO
NCAL CE DB,LCBNAC D E
VisualMaP,saVaPlMui
FirstNet IMP,sFI PMttiNre
IDP-Order Graph Cloud,aOd Gorlep rPr-DIuCdh
BMP Test, PMeBstT
ATT-KFSL,L-KTTSFA
LDP,DPL
ZUNO,UONZ
IDCWEB,DCBIEW
ETFB,ETFB
AT&T RaB,Aa&BT TR
MMTARP,MTPMRA
Brightspot/Comp Intel,logerntsBhiopItp Ctm/
iXP-Cloud,oXu-PldCi
IDP-Nodejs-Platform,sNDPo-rdomltIe-Pajf
IDGraph,IGhDarp
DMCA,CDMA
TEXAN,XATNE
IDP-Platform,r-fDmoIPatPl
(FED) - OVALS,SAFL )-O DE(V
(FED) - ESB-NIS, BNFS)SD-IE(E- 
Cisco NSO,s NiCcOoS
Lockheed Portal,e lrothcPkoedaL
IGLOO,GOIOL
CDTDPP,PCTPDD
CID-BS,IS-DCB
MotionPoint,PotnotnioMi
SC-CMS,C-MCSS
SMCP,PMCS
PM-CLU-SE,ELSM-UCP-
NGEAG,NGAGE
BPE-AU,PEUB-A
ICAP-SDP,S-ICAPDP
TIRKS WORD Sketch,WRe cSKID htRkTOS
AFNE,EFAN
vTM,vTM
Kepler-SSOT,SepelSTOK-r
"SRS-PAR, SRS, PAR","S-SARS ,,APSRP RR"
SHM,SHM
UNS,SUN
OneQual,ulnaOeQ
Iperf,frIep
AOSTE,AEOST
IDP-DTAP,IDTP-PDA
SETT,TTES
IDP-BUPS,DSIUP-PB
CSSAdminMgmt,CmtMSginSdmA
IDP - Consent,PI n-D setnCo
IGRA,ARIG
SIBOR,RIBSO
AIN Web Tool,oNW bIeTo lA
GRP-ENBTBLS,LSBNGP-RETB
DAASOL,OLSDAA
FirstNet ICAM, ICtMAFeNsirt
Atlas Sidekick,ctldakSeikiA s
Athena,ehntaA
ISAP,ASIP
TeamDB,TDmaeB
KEPLER,EPERKL
OCIP,CIOP
CARAT MVS ,R VATC MAS
BO - LDFMSAP,SOLMF -DA PB
ASIC,SIAC
BDS,BDS
WFH,HFW
ESB-NIS,-SBESNI
Cricket SN,ti CNkcrSe
CKTTDM,TTKCDM
API Apidog,pgIdi PAoA
CKT-DE,ETKCD-
CSO-TAS,C-OSATS
wifi-dns,wnisid-f
CCGW,CCGW
Cricket AKT Pay,irT ytKACka cPe
Cricket Spotlight,gpSctC ttrehoklii
Cricket CAR,R etckCrCiA
Cricket Entra ID,CDi ttEakc rerIn
COFA,CFAO
Cricket HS,ki SCctreH
Cricket ABI,ktiCcAIer B
Cricket- CUE, CUeEk-tcCir
DecisionsSaaS,caesinsSSiDoa
AFT BUS,ASTUBF 
Cricket Comms,rmCkct Cmosei
CAET,ACTE
GRP-DI-LOC-SVCS,VSILG-OP-CRDCS-
GRP-DI-SND,DSGDRIPN--
GRP-DI-TECH-SVCS,PDVSR-CT-E-GSCIH
CORE,CEOR
ASPEN,SENPA
WEFOS,SOFEW
MAA-LD-HIERARCHIAL-MANAGER,AAD-ARMCMN-RLEAALHIGAI-EHR
DBMP-LV,LMV-BPD
GRP-OE&A VMO,&PV-RGE OOAM
MFDR,MDFR
LD Fulfillment,Lllu mfeDnltFi
LD PIC, CDPLI
OMS Utilities,OisUeStitM il
Cricket Unity-IS,UCtnrkitcI eSiy-
Cricket Wireless AF,iCr seAecW tkilFser
Cricket C1,r eCC1kict
Cricket DT Apps,cDiTe pkpAC rst
CricketFormstack,aictrkcFsCkometr
CWMNR,CNMRW
HR-BV,VR-BH
CRICKET OVT,CTV RCETKIO
RCRM,MRCR
HRDSC,SCDHR
LSoft,tSLof
RBRZN,BRNRZ
CKTBC,CBKTC
apache webserver,rwesveerb chpaae
Gport,rGpot
GENBANDATS,ETGNDANBSA
BB-Wireline-CALEA,-WAei-CrnilABeBLE
KPIT,TPIK
TippingPoint SMS,pPiTS tinSMpnigo
USP-pFBC-Prod,rBC-PF-SoPpUd
USP-pISBC-Prod,--dISUSCpPrBoP
BVoIP-pMBC-Prod,BPod-C-IpPrBVoM
BVoIP-pIWF-Prod,BpIdrPWooIFV--P
BVoIP-pIPBE-Prod,-EPdIVoPBPr-IopB
MNS,SMN
HAS,SAH
DCUKVM,CMDKVU
F5 VGDF,FV FG5D
ELAP,ELPA
NTN-DSI-Labs,NaSL-IDNbT-s
NTN-EMS-Labs,SaMEbNTsN--L
sss,sss
CSO-ENSS-ELM,ONSLESM-SE-C
IDHCP,PDCHI
SAEGW,WEASG
BGTMOINFR-TOOL,ROGTNBTM-OOLFI
Affirmed-MSF-PROD-BB,fBfFrPdeASMiOm-R--BD
TRCLab,CLRabT
Affirmed-MSF-BF,fMF-BSi-fmdFAer
ESTO-OSS,SOTSEO-S
Control Plane Applications VMware Restricted ESXi,alteretE VliPe Cnco nrlMXtpdopn eiroRAactS iasswi
TechOps-TWiki,hcpkT-OieiTsW
NR-SCP,-PRSCN
NOWMTNS,SONMWNT
AIC-OpsSuptTool,AlpuO-pIsCToSto
GRMP Admin Tool,Mnl dm AGToPiRo
NPAR,APRN
DS-LMFe,LSeMDF-
EGNB,GNEB
ANTX,XTAN
NR-AMF,A-MFNR
NR-AUSF,RF-AUSN
GPN,GPN
5ESSASM,SSSE5MA
e911 MPS, P19eS1M
Prod vFGW,rd GPWvoF
BPA,ABP
AT&T 9-1-1 PSP ALI,A1P9TP  TA1LI--& S
PNXNOW,XWNNOP
mnspa,nmsap
MME,MME
NELS,ESNL
FN-AMF,AMNFF-
DS-LMFv,-LDSvFM
LMFv,LMFv
CW Rewards,reWaCdwR s
MOBNT-MIND,M-DBNTIOMN
SDN-MLC,SDCNLM-
PMOSS_CMT,OMT_SCMSP
GCA,CAG
PPMPro-NOW,MPPo-PNrOW
SISC-NOW,NOSIS-CW
SIXML-NOW,MLNX-SWOI
GICECAP-NOCEM,ECGC-NPAOEMCI
WINCAM/PGCOM,WM/GCIMOCPAN
GICECAP-INPOP,PAPNGIPCCOI-E
vikar,akrvi
Core Tacacs,Csoceraa Tc
Cricket Digital Tools,cltrDTo gtiliCkseia o
AORTS,ORTSA
PHOENIX - T,XTEN -PIO H
PMMS,SPMM
Diligent,iniDglte
CIT,CIT
HRM,RHM
AMP-A11Y,1PY-A1AM
CATO,CTAO
NSDJS,SJNDS
TWAMP,MPWAT
VIGMON,GOVINM
DPHUB,BPHUD
SAEGW-CP-BF,EAWBFCPS--G
AT&T 9-1-1 PSP,P1TTSAP -1- 9&
SM-X,-MSX
UFORMETPORTAL,TLROOTAERUPFM
RGST,GSRT
CTREP,ERCPT
E911-EFS,E1E9FS1-
amiGO,GiOam
DP-CWH,D-PHCW
FXHSS,FXSSH
COMPHSS,SMHPOCS
Ribbon-NTN-SGX,TnN-XbRo-NGbiS
Ribbon-USP-SWe-EMS-Prod,SendPorMUW--bP-R-iSEoSb
CRICKET-HI,C-HRIETKIC
HLR HSS EMS,H SE MSRHSL
AFAC,FAAC
AUC,CAU
SDN-O,SD-NO
CSO-ENSS-JUNIPER_NSM,U-IONJSNSR-E_SSCEMPN
FinTransformation,FamfniistnoTraron
TPA,TPA
FDW,DWF
ALLOY-NCAAS,YLOASAANL-C
MADS,MSAD
SPEED,ESDPE
AADC,DCAA
INTL-AD,INTADL-
ATT-DD,A-DTDT
pUSP - pCTS,SSUTC - ppP
CJA,JAC
Anomalo - DAAD,  lAA-oDDnoamA
AIA4SMB,MAS4ABI
MRVL,MRVL
DPG - EDM Omnichannel Analytics,cyOGn eicshmD-an lt nA PainMElD
ATT-CL,ATCTL-
GRP-SD-TVM,GMRTS-V-DP
GRP-R3 TVM,MR3P VGTR-
R3:Salesforce,eSr:3Rslocefa
PKDS,DSPK
CollTools,lTlolosCo
erilab02,eari20bl
OCSBC&SM,&SCBCMSO
ETH,TEH
GRP-NSS&SE,GS&SPSNR-E
GENAIWO,NGWIOEA
SJP,JPS
JIRACLOUD,LDOIARCUJ
VFO,OFV
CAP-BVRT,TBRACVP-
SNLFD,SLDFN
CSO PAT,PAOS CT
CFAS-AP/CE,CEP-CFASA/
TUI-REIM,IIE-MUTR
KOFAX CAPTURE,UACAE RXOPFTK
PTS,TPS
Cricket WARP (Incomm),Pein)kmr  mctRcCoI(WA
Halo.E IAM Azure Log Analytics,A rt oyinMEs eLcH.IAAglzauloa 
Halo.E IAM DNI Gateway,H lI DaoMANay.ewEGIt a
CP-LSAT,SLA-TCP
JIRAALIGN,AIAIRNLGJ
BLD,DBL
ABA,AAB
CBSWEB,ESCBWB
CDO-MARS,DC-SOMAR
eSIP,SIeP
GRP-IBM-ATTLPM,PPMTGARB--IMTL
CorpFin-EPBCS,BrFCpPioSCnE-
CorpFin-FCCS,CrSFin-opFCC
VoXPro,ProVXo
FDM,MDF
FITTREXai,TaEiTRFXI
DPG - Finance,Fn-nGiae cD P
PC-BI,PC-BI
ACC P2G,CP AGC2
MSch,ScMh
IEET,TEIE
TAO,TOA
MCANS RT LAB,TNCBRSAL M A
SCRM,CRSM
CCMule-SRV,Cue-SCMRVl
GRP-CDO Prod Supt,uRGtrp  CoPS-DOPd
vCCF,CCFv
NR-PCF,NPF-CR
PCF-BR,PCR-FB
IDP-INTEL,I-TDLENIP
CCMule-SLS,LCe-lSCuSM
QM - BUSDIGITAL, LIS-BQMDT IGAU
GRP-DAAI,GDIPRA-A
EPC,PCE
BOOM Orchestrator,ertosOaBrrOMtO hc
GRP- McCaughan Inc,PRhgIMa cCu aG-ncn
IHR-Exit-Survey,-Stxvyrie-EIuHR
NCAW,CANW
GTP,PGT
DRS,SDR
ACE,AEC
OGSIâ€“PO,“OGOPâSI€
OracleCX,lOaCcerX
Oracle PO,OclPa erO
CONQ,OCQN
IvME,vEIM
VAST,SAVT
DT,TD
IGD,DGI
Message Rating,aais stMgegnRe
CMDS-NATIONAL,TCNAI-OSMNADL
Miscellaneous Rating,olRnusaitcgi Meesanl
InstaRate,aesRIatnt
SD/SU,DSSU/
ILEC SR,ECILR S
vUBDr3,v3UBDr
Premier_Globys,elrb_rieGyPsmo
EY CCP,C CEYP
GMBRT,BRMGT
ADIVA,DVAIA
AzureSharedMTA,rdASeuehrTaAzM
NOWGRCVP1,PGO1VNCRW
NOWGRCAMW,AGCMNROWW
NOWGRCSIQ1,R1WGOSINCQ
NOWSAFEBREACH,EFCHOAEWNARBS
NOWSIRWKS,SSNIWORWK
NOWEXPPPTSPM,MXOPSPTENPWP
NOWCHATSIM,HIANSCMWOT
NOWCSOSBUCHK,OCCOWBNSSKUH
NOWSIRCHAT,WSINCTOHRA
NOWCTIX,WNOIXCT
XTHREAT,REXAHTT
NOWVRCMNWKS,KVMCWNSWRON
NOWTENCONCT,CCTOOTNNEWN
NOWSPFEXPSIP,OPWXENISFPPS
NOWVEA,OWAVEN
NOWCED,COWEND
NOWSecIR,eRSINcOW
NOWVRCMN,WNVMRCON
NOWVRINVD,IWNRONDVV
NOW SHODAN,OHNWDONA S
NOW IDEF,NIWE FOD
NOWSBOMC,NOMOCBWS
NOWSGCAD,DGSOCANW
NOWDMSBOM,BNSOWDMMO
NOWCSOVRSF,RVSSOWCONF
AASIC,IASAC
NOWPPM PPT,PNPPPWTMO 
NOWVACSONLU,OWOCANSNVLU
NOWGRCCSOComServices,SCeiOCNosSRcWmrGCOve
NOWGRCSIGQI1,WQCIORGGS1NI
NOWGRCCMNWKEMTS,WGWOETCRMNSNCKM
SN_GRC,NRC_GS
NOWGRCACFG1,AFWGNCRGCO1
NOWGRCtaxmgmt1,ttaxCNmR1gGOWm
NOWACGRCPAPI,APACIPROWNGC
NOWFILEEXPSIP,WOLIIPXPEESFN
NOWSGCARMIS,WCSNMOAIRSG
NOWSGCTENABLEASSET,NGECSTASTOEASWNLEB
NOWExpanseCC,aOWCxpseECnN
NOWVRPOHCLB,VRLWBOOCHPN
NOWTPRM,PTMNRWO
SN_RISK_ADVANCED,CSDIRNEANKSDV__A
SN_RISK,KN_ISRS
NOWGRCPCM1,CON1GRMPCW
NOWPACC,CAWNOCP
NOWGRCADVAUD,NACVDWAGDORU
NOWAVRManPen,nMWOeaAPVnNR
NOWVRIMTVM,VMRIWVNTOM
NOWSPSPK,NKPSPOWS
NOW Astra,AsaWtNrO 
NOW VR Mobile,M lWeVNobRi O
NOWSecSupportComm,CmrmcoeSpSotpuWNO
NOW ASPM,NP WASMO
CHEETTA,ATETCHE
NOWEntDiscoAdmin,WdiOmocnEtiAnsDN
NOWEntDiscoGloMisc,iNnsocMWDEiGOoctsl
NOWEntDiscoK8sOnPrem,nNoO8OePWrDssncKiEmt
NOWCPG,CPGWON
NOWVRHCL,CWLHORNV
NOWCCATTCOMM,MNMTCCWOACTO
NOWSBOMRESP,OOBMPESNSRW
GGAIR,GAIGR
Enoc_Jump,Enopu_Jcm
GRP-DI-PALANTIR-SVCS,RP-NSCSAIRDTV-LP-IGA
Ironclad,clrIoadn
HW GSOC,SHCW OG
ABS-SNTMF,STM-FNBAS
ABS-SNTMF-674,74SABF-6N-TSM
ABS-SNTMF-632,-62-SSAF3TMNB
BNS-RT,TS-RNB
GRP-RAR,R-RAPRG
Immersive Labs,rmimbeasLI esv
DM,DM
TransU,sUTnar
Jamf,mJfa
AIFC,AFIC
SOFTWARE UTIL TR,OFLE UWTTA IRRTS
GRP-DATA-NEO,N-GEA-OTRDPA
CDODABBLER,DLEOBBARCD
GPSAM,ASGPM
TIO - f,OIf  T-
CSA&O,A&SOC
CDSP,PSDC
TIO,TIO
Ekata,Eatak
CSO-ESA-TOOLS,TAOS-CSE-SOOL
RGPE,ERGP
GFMDB,BMGFD
SPM-RECO-AI,RIMS-OAECP-
USPe PNM,NM PeSPU
DATAWEB,BDWATEA
TPA-ADR,RTPA-AD
bbtlpa,blaptb
DISCORD,RCDOISD
Snort,onrtS
CTX-NonIDP Env Supt,utvnPXT pEInNS- oCD
STY,TSY
Ticketing Adapter,cgtTAei tkaeripnd
External API Adapter,rPta an tAeeAIplExdr
tcmdbDA,dAbtDmc
Presales - SFDC, ealDsesP -rCSF
cdpni,pidnc
CFAS-FA,FAAFCS-
NICUS,USNCI
GETMP,PGEMT
IGEMSQM,SEMIGQM
Cisco ISE Lab,caEo iI bSsCL
SAGE-SDT,S-TSDGAE
VET,VET
FENAP,NFAEP
SCAMP,PASCM
SCAMPWEB,EPWSMBAC
WLLBBT,TBLBWL
SVT Austin,utiVnATS s
BUCA,UBAC
SONAR CLOUD,NDROOL SUCA
GRP-LODDEKE,DDLGPEEOR-K
GRP-SONI INCR,CSGN-OIPR IRN
DDO,DDO
Nicus FMDB, DMNucBsiF
Nicus CT 2,uci CsT2 N
DFNDR,NDFRD
COGNOS-UP,-GPOOCUSN
OGSI - FA, S-FO AGI
DevopsDPCM,MPDCpDoevs
NOWDevOpsADA,vseNDADOOWpA
NOWTMETITSMPlatSupport,NIWoTrtTPMpEpaSSMlutOT
PlatformMetrics,orMmtePsriflcat
DevopsDPCMG,GpsCoMDDveP
PGT,PGT
NOWLDAPInt,nIOtAWLDNP
BPI AM BATCH,B IBH CTPAMA
FBO R&R,RB R&FO
BCST,TCBS
GRP-NSA-SRE,RS-RNSP-EGA
GLAD,LADG
CANEW,CWANE
MyDesign,MgisyeDn
SN-SPOG,NPOGSS-
CONA,NOCA
AVTK,AKVT
BCLM,CMLB
VERIGATE,EIATEVRG
GRP-BSST MW Billing,-BGSlnMTW gPS RiilB
PR,RP
CE,EC
IDB-CBLD,D-ICBDBL
CRIS WFA Credit, RrIeSCd CtFWAi
NSAS_AZ_SNFLK,ANZS_FKNLSAS_
SRM-SAN,-RMSANS
FTHOM,OMHTF
NAS,NAS
Apogee HVAC Controls,AoVntsC eHple rACogo
CCD,DCC
FDMS-NEON,MDFNOEN-S
NOWPlatformChgMng,ClgagWNrnOthPfmoM
NOWPDSOCIDTestApp,PtOsTCAOSDINpDeWp
PDSO_UAC,_OSUCDPA
NOWInstAccMgmt,tcnMsAOtWIcNmg
NOWCOEGrpManagReq,CENOGMOpqerWagRan
NOWPDSOPlatDevSecOps,tPeSeDcalOODOsWpNvSP
NOWDevOpsPlatformConfigMng,DpnmoNasnotOfggvrWiOlPeMfC
BOSSSERVER,ERVRSSOEBS
WebTrax - C,CrWx  T-bae
BCTool,lCoBTo
NOWtCMDBNA,tOMBNNWCAD
SCCDC,SCCDC
ROMA,ORMA
mktg_ai_pltfrm,mtal_rg_mpifkt
USPe vUDR FN v2,vvDe2S RUU FP N
CAP,CAP
Collects - SWBT,SclT Wts-Cole B
UPS-EMS,EUMPSS-
UPSINTF,NFUISPT
FBO Shared DB,B BF DedhrSaO
CABRA,ABCRA
NR-BSF,NR-BSF
TSCAP,PCTAS
IMPS,PIMS
RIPS-U,P-SRUI
GWS-FM-Maximo,-MWxaSMGoi-mF
EMS - C,S- CME 
MTECS,MCTSE
UPSPOST,UOTPSPS
RBU Referral,aUlrrB RReef
IDB,IDB
IVS,IVS
NAI,AIN
CARRIER WHOLESALE,ER ACSILREORWHALE
EWI-CLEAR1,R-1EAEIWLC
EIAP-cENM,NcE-EIPAM
WSH,WHS
CROSS RAO,OOARSSRC 
ASMG,MSAG
AVCR,CRVA
UAR Data Repository, ytaRtiUaeRp sroAoD
"MDE 4.0, MDE, Mass Data Entry","M MD  40,EnsrE E,t yD.taaasDM"
SN SOM, NSSMO
MST,TMS
NOWSGCInLPP,OCPLIWNGPSn
3PM,3PM
catdv,vdatc
USPe PNM-SDC,-UPN SCSMPDe
APISSP,SAISPP
IBS DATA MART,TARAA  BTMSID
mediapulse,audieseplm
SNOH,NOHS
NAKM,NMKA
CSO-APLs,PAsCO-LS
CEY,EYC
CMDBH,DMCBH
NOWSAFE,ASFEWNO
NOWNC3,NOWNC3
AES,SAE
CCDW,CCWD
Focus Config, osufgCcnoiF
Centrex SMART,tren ReSCxATM
BFGWeb,WebBFG
SOS ABS,OSBSA S
SA/SA-UP,S-PS/UAA
EDI ABS,ASBD IE
NC,CN
rBB,BrB
Cloud Harbor,brouodH aClr
AON-USR,ORAN-SU
DPU,DPU
VSSS,SVSS
INAP - R,IN-PR A 
JFrogSI,ISJrFog
AAPNow,owNPAA
SRG,SGR
CBS-VTNS,CSNVB-TS
B2BIGW,W2GIBB
BBCATS,BSCBTA
SAFe UB,AU FeBS
EIS,ISE
RIMDB,DIBRM
KEPLER-FirstNet,tLKtiPReEErFN-s
BIS/IPM: DB/INTERFACE,PIAECMR:SI/BN /FDBITE
NDF,NFD
Cricket Obsrv,vitrbC Okecrs
Cricket Apprise,cetrrpCs iAepik
Austin - DS,tASus  ni-D
CSOPSAT,TPSSCAO
NR-NEF,-NFNER
Green,neGre
ANPR,PNRA
RCT,RTC
PSH-EVNTS,PVSN-SHTE
IAM-CV,M-CIAV
csowebsite,wbcostiees
NOWSGCLEVO,GCSNEVLOWO
GRP-ESAS,SAPR-GSE
AOFLOW,OAWFOL
NVGC,VNCG
SNAWA,AWNSA
GRP-FAT,-TFAPGR
NOWHGCU,NOHCWUG
NOWSGCInAMS,SIMnCNOSAWG
NOWNMASGC1,GW1OANSCMN
CSRST_33Thomas,sahCo3RT_ST3Sm
FLFE,ELFF
NOWSGCcOTA,SCNWGAcOTO
NOWGILD,GWDNOLI
TNIM,MTIN
VMMS,MVMS
Slingshot,gtinolSsh
AMC-MSPS Ford/Visteon,Mio oCVdS/rePFAtMsn-S
T2Z,2TZ
CRE-EPI,R-IEPEC
CREIDP,CPDIER
CREWAM,WREMAC
WATSON,OSATNW
BS&R Support,pSupSo& BtrR
WUG,WUG
HOSTLOOKUP,OPUHKTLOOS
ELK,KLE
Splunk,lSknpu
LNPSHADOW,HODANWPLS
CFMS4,C4SMF
HARMONY,MHOYNRA
SN_CG,SN_GC
SN_EX_SP,SEPSNX__
SN_EX_EMP_FD,ENPX_FD_SM_E
SN_CE,N_CSE
SN_EX_SP_PRO,PEX___NPSOSR
SN_CA,C_ASN
SN_HR_SP,PS_RN_SH
Bill Consolidator,tlsloBdo aionlCri
NSA,NSA
TOPAS-AP,PPAS-OAT
CARAT,RTAAC
FBOAudit,FuABtdiO
RnT,RnT
Billing Operations Cloud,dnaoillsOlgi  uBponireCt
CAST,CTSA
TAI,TAI
HCMP,CMHP
L3 ADS,A3DLS 
TIFAP,ITPAF
MBBT_AI-NLA,BM-_AITALBN
CIS,CSI
NOWSGCNMASite,iSNWMeOCNSAtG
(FED) - ITL,L( - )DEFTI
TOI,TIO
SORDSERVER,SRDVSEOERR
NETDB2.0,.T2E0BND
BSSe-RTB,STBRBSe-
GRP-BSST West Billing,gsiG Be PBlRSiWTlnSt-
GRP-BSST Environment,i nrSnemB-RGoSvtTEPn
MSS,MSS
ALPHA,AHLPA
ICAT,CTAI
FOTAX,FTOXA
ATTFEDGOV1-U,ETUG1DTV-FOA
1360COM,30MOC61
HVD-IMAGE,H-ADGIMVE
RTI,RTI
LAEBILL,ILELABL
OEG2,EO2G
LAMS/DIS,A/ISLSDM
BPP - CFAC,CBP CF-PA 
BPP - KB, K BP-BP
DNI-UP,DP-NIU
GRP-AAAR,A-RGRAAP
TSIINFR,TFSRNII
RCC,CRC
LEANIX,LXIEAN
ORA2DRDAGW,ODAGAR2DWR
NOWGRCRMWKSPACE,RRPKMGCWAWNSEOC
docAI,oAdcI
GFCLD,GFDLC
CDO_Snowflake_ANT,owlAkST_eDNOCan_f
EFCA,FECA
CBOCM,OBMCC
One Door,rone oOD
PTT,TPT
AW-MEP,A-EWPM
CSOS,CSOS
VDD,DVD
CRIS Usage Studies,gdiSRSIes  tCaueUs
EDoCS,SoEDC
ERF,EFR
B&C-CABS-FEED,EA-EDCCS&FBB-
GRP-BSST SE Billing,lglS R-PBGBnSi ETSi
ITMS,MTIS
ACIS CBF, SABCFIC
GRP-BSST RVM,S-GRBT RPSVM
MSPS,SSPM
MIDAS ACS,DAAS SMIC
ACIS,SCIA
AMCD,DACM
UBAM,UAMB
ATC,TCA
WMS - RDC - CTDI, DCRMTW -S -CD I
BARN,ANRB
PIMR,IMRP
SPP,PSP
GRP-NSSA,NPASSR-G
GRP-EP&S-PMO,MOP--PSGPR&E
SPMA,AMPS
GDUI,GIDU
eBiz OPs Tools,eiTOBoo l szsP
M365 E5,65E3M5 
NOWDOD,NDWOOD
DLPRT,PLRTD
DLPER,DPREL
DLPIR,RLIPD
NSSA,SNSA
WEDAT,ETWAD
ASPM,MASP
ASON+,SAN+O
MARS,RASM
SMCC,MCSC
iHub-Talos,TslbuHia-o
LABS-SBI-DNS,SB-A-LDBSISN
PIE,EPI
ATTeBiz,iTeTBzA
LN:LR,LNR:L
Burp,purB
enGaugeMgmt,amgntMeGuge
ASE,AES
AVT ASE, ASETAV
GRP-CDO-LPS,-OPSCLRP-DG
AAS,SAA
MSF,MSF
TOL,TOL
GRP - TAM OPS ENG,GOT P M NPR AGSE-
ECOMP-C,CCP-EOM
GRP-AXIS,PS-RAGIX
MPSL ALU MSC Core,AP eL MCSrCLoMU S
BVoIP-pIWF-Labs,-apLPoV-bsIBFIW
BVoIP-pMBC-Labs,VIPaspCBoM-Lb-B
REM-CRE-TRIRIGA,ER-IMCRGRR-EITA
CBOIGSPPM,BOIPGCMSP
L1-WebApps,Appe-Wbs1L
CSPJS,JPSSC
Service Spokes,k eiecSoespSrv
WMT ENT,NW TTEM
LESOG,ESGLO
GICECAP-TOWN,CGOCIPTAEN-W
EM ABS,BAMSE 
CSOPR,OPSRC
ATTLM,ALTMT
USP-pFBC-Labs,FSBPpCU-Lba-s
VNI-DSI-Labs,VSIN-sDIba-L
USP-pISBC-Lab,ICLSabPSU-p-B
LAB-Sonus-GSX,LGXnS-BA-soSu
